"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.00144151432944,4.28330650868643,8.60392496205644,8.9504139429884,17.1269391004184
"tmax",-2.08286056249642,2.61782946688284,13.7002577112785,9.86059737228304,17.4730116140537
"TPI_five",11.545815066621,-2.65418507395541,13.6716296211046,13.6380920391022,27.0122645520577
"dem_10m_zaca",5.00974148461203,1.03602105198982,17.0852805248377,16.6964107728089,22.8683937932862
"flow_accumulation",12.2449395137686,-1.76116993447464,9.20946819694981,11.591408580922,23.9379331824555
"sr",3.88497286018689,1.26802820311648,11.1744831446186,10.4886079862977,24.0787516543687
"slope",11.5216075218656,3.39424316655427,13.3948056101405,17.7606704719461,29.1418074515905
"TWI",-1.06309681521265,-1.45766422865686,3.27218112036869,0.487912514233748,18.3357336436572
"cwd",3.72768917272428,2.81167442029636,8.28045446481126,9.05412075252774,21.46413943711
"vpd_aug",-0.228790428619258,6.95545311126871,14.080193553597,12.7402160079226,22.1389631422677
"vpd_jan",8.91735245191734,-0.0172568368969138,13.7154238148362,14.1582249738553,25.7440624287343
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.05725471436631,7.01132889940852,6.90389751131525,13.031289682061,18.6807055214325
"tmax",5.05231688816094,3.67972080105782,10.810568234176,10.8442016018493,17.3834140582463
"TPI_five",9.53555413406912,-1.75941974870929,14.192592136615,12.8934414275898,28.1119798791638
"dem_10m_zaca",3.54205494363577,4.92059578108173,12.5685842239797,12.7975135908216,21.7866452068238
"flow_accumulation",15.4738043532427,-2.22205944178927,9.12379920355514,14.3485110512329,24.7291870730904
"sr",13.1171174798723,-1.66937733083234,12.9703163992521,15.5394462054825,29.4742685970914
"slope",13.8232313475984,4.94077779365724,12.1123742873442,18.2888042203657,29.4660222621866
"TWI",-1.79709913890051,1.83947134453646,4.83152097643911,3.39617313466973,17.7479332556617
"cwd",3.86986282707871,-0.164656399786008,9.32993053757616,7.7804002345134,18.4631359256357
"vpd_aug",3.97672436972544,8.35529116437054,8.6376169723992,13.9023917638903,21.2330594908378
"vpd_jan",8.75974962682218,2.10444365407026,11.1637797379557,13.0929956496306,22.2111020631635
