ORIG_FID,aspect_30m,cwd,dem_30m,insolation_30m,rain_30m,rdnbr_2007,slope_30m,tmax_30m,tmean_30m,tmin_30m,TPI_five_30m,TPI_queen_30m,TWI_30m,vpd_aug,vpd_jan,years_since_burn_30m,dnbr_2007,ndmi_2007
35324,74.49032211,877.7954102,1180.626938,1157028.32,656.253746,1112.265457,33.11169016,21.71374941,16.05166626,10.38666654,1.662370479,0.579139923,3.775447667,32.29503942,11.09343386,7,0.910092745,-0.406902152
35324,75.51569148,946.5293841,1106.945539,1266738.982,676.539978,852.9711217,29.33428846,20.79000092,15.73999977,10.68999958,0.157567579,0.072479978,5.137004444,31.63758959,10.77306093,14,0.910092745,-0.406902152
35337,44.89672887,794.4944504,1383.675956,1155322.443,865.6400146,673.8712336,26.6310566,20.15999985,12.72000027,5.28000021,-0.105181285,-0.038666277,6.115879351,34.70337222,9.672019531,86,0.519229671,-0.061186394
35337,93.61843414,848.620139,1342.767676,1184820.752,798.8223964,1037.833425,24.176625,20.15793599,14.70650804,9.245079313,-0.327353333,-0.128383518,6.449777305,31.64974529,9.925768716,39.5,0.519229671,-0.061186394
35337,285.1162372,941.8130065,879.6927828,1193884.559,649,980.288581,24.02883347,22.22999954,16.31999969,10.40999985,-0.563781444,-0.199672436,5.620887442,35.50661233,12.10601555,27.75886519,0.519229671,-0.061186394
35337,58.33995003,799.128411,1421.338387,1227001.827,832.6099854,1015.376303,22.69234063,20.14999962,13.71000004,7.269999981,-0.273758085,-0.100806958,5.977524259,36.30274608,8.837295055,86,0.519229671,-0.061186394
35337,92.72287055,910.060163,1084.311144,973669.3602,668.5927863,996.4955717,34.40813491,21.34420977,16.19298282,11.03175434,0.378707443,0.133687778,4.484311361,32.64943595,11.11167868,14,0.519229671,-0.061186394
35337,79.81153244,971.0695159,913.6320723,1299242.53,665.5822848,577.8170549,20.30121021,21.79153785,16.48615443,11.17076915,-0.618453068,-0.233815516,6.675677862,35.40681536,11.85097105,14,0.519229671,-0.061186394
35337,121.4779367,NA,1118.545315,1031729.09,676.539978,636.1159984,29.71650187,20.79000092,15.73999977,10.68999958,-0.875647015,-0.324608948,5.43972411,31.88558374,10.98646305,14,0.519229671,-0.061186394
35337,46.0240804,978.4880422,468.9149183,961664.0208,531.2000122,562.5891927,33.4014047,24.13999939,16.29000092,8.43999958,0.233659954,0.037577173,4.297545473,41.83717187,12.50220676,93,0.519229671,-0.061186394
35337,43.30772827,941.7349854,1001.616592,1083936.292,668.7761666,474.0573389,28.84055873,21.49857112,16.34190532,11.17761884,0.067603383,0.028587342,5.130213102,32.68419611,11.10180614,14,0.519229671,-0.061186394
35337,167.9206255,1031.165829,459.4229691,1255916.606,566.1500244,994.3492279,17.43836648,23.73999977,16.14999962,8.56000042,-1.399778591,-0.513246445,7.001558971,38.12382107,12.50644884,93,0.519229671,-0.061186394
35337,212.3067935,944.4184914,982.7247658,1020922.063,675.2334518,708.9460754,30.52947378,20.95611191,15.86937475,10.78104138,0.944753017,0.348293674,4.140914857,33.60068512,11.35213095,14,0.519229671,-0.061186394
35337,309.2958765,781.3151703,1673.869331,1330352.695,1165.780029,727.7664757,19.47962922,18.52000046,12.43000031,6.329999924,0.538141038,0.193717636,5.033115268,30.96929109,8.615710735,84,0.519229671,-0.061186394
35337,299.2879047,907.1574198,1051.94311,1015218.193,649,1261.429189,30.78271484,22.22999954,16.31999969,10.40999985,0.828952914,0.281011367,4.396969656,33.70962048,11.54154126,7,0.519229671,-0.061186394
35337,303.0642982,807.8774226,1226.521306,1185157.894,777.6933171,1372.461294,21.64510815,20.57333374,12.87333327,5.166666838,-0.500522704,-0.185183005,6.493842528,35.0257988,10.11892531,86,0.519229671,-0.061186394
35337,341.0241089,780.3777771,1656.027698,1310738.113,1180.23999,1345.671484,19.86851902,18.37000084,12.35999966,6.340000153,-0.209840225,-0.075767179,5.810164928,31.21352463,8.651610279,84,0.519229671,-0.061186394
35337,279.1211838,954.9717834,1156.667871,1065255.413,676.539978,708.4084625,27.7088583,20.79000092,15.73999977,10.68999958,-0.405084909,-0.171093076,4.755538297,31.97194138,11.03942566,14,0.519229671,-0.061186394
35337,313.1844921,835.3109283,1272.548355,939544.25,633.4666672,800.5955696,32.83962536,19.86500072,12.72333324,5.571666718,0.216186533,0.06942728,4.82598716,34.56989622,9.05755949,93,0.519229671,-0.061186394
35337,259.6543789,929.6763229,996.7288895,1015796.664,649,1033.894791,30.0034492,22.22999954,16.31999969,10.40999985,0.494177086,0.170858169,5.048052073,33.39502144,11.53781033,7,0.519229671,-0.061186394
