"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.07634906590018,3.73403279426274,11.7097655538245,14.084467941372,21.0420926313816
"tmax",3.69283064272879,2.63554652638595,14.824204138542,12.719099589142,20.0180236285233
"TPI_five",3.34107013294501,-4.58538839570565,15.9002789568993,9.69363339915439,25.4896456648031
"dem_10m_zaca",5.97668525534523,1.10209058284016,16.513618137596,15.4870380787781,25.9741863076065
"flow_accumulation",7.54982919411599,-3.17180665292002,8.76873073120724,7.96862126144703,21.7252172010832
"sr",10.8253504715968,-2.45775951092589,17.3714439507894,15.6987179804057,31.4101954425111
"slope",16.8784355837562,3.3024015982116,17.0123417564844,22.0280686419112,34.7378434300984
"TWI",-4.82536353550618,1.88941312711126,7.11996205899225,3.14061723200309,20.4453038248286
"cwd",6.96564841111729,3.04349421363003,9.49722109412212,11.9257097935815,23.1049882338078
"vpd_aug",1.56094605784488,5.96879390872041,16.4803489596962,15.7788874006718,25.4123223020239
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.80989246912121,4.26740975089461,6.6084776742336,9.5999295288011,20.6027007814871
"tmax",-1.38507717295103,2.78287550855852,11.4542027586339,8.24686454905626,19.3276005526224
"TPI_five",6.86997068901511,-3.12551881530917,15.4833284845088,12.1891065135392,28.3336916022675
"dem_10m_zaca",5.84839617865759,1.00648468034373,14.0039743501764,13.5495188560429,25.4477740881408
"flow_accumulation",11.7796309145653,1.15373052814615,10.3033430908212,14.6443174956013,27.0238070312445
"sr",8.89667935363681,-3.77796185322675,17.5735158066674,14.8302493076447,29.0749852329721
"slope",12.6995569257375,0.946948799608568,17.7607967955395,19.9768468972372,32.6845925040762
"TWI",-3.58468366898286,2.72686003947331,5.41809851633882,3.11394077089655,20.5855285295348
"cwd",1.35273497303146,0.40442286098767,10.3065005042277,6.95602114376675,21.6775105601488
"vpd_aug",0.522619442994844,10.547327519782,10.5487277738188,14.0073287636571,24.5730837841732
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",9.24399388807101,2.81912269903888,8.245623677182,12.5479573069792,20.1568484170287
"tmax",2.5032734925637,3.89119614907511,13.4009993255153,12.3327699487793,19.1014320757604
"TPI_five",12.8199497905505,-2.19629130014216,14.0034026978777,15.1987702010205,30.0298607455139
"dem_10m_zaca",10.9027775862806,1.30688667739992,19.0281050714611,19.399583250462,27.108034361102
"flow_accumulation",10.3235744942103,-2.72046551282073,8.42039464635091,9.27673340354422,22.1262313701694
"sr",11.5238644984185,-1.35613754764234,14.0757112838492,15.0364377335736,30.6482570549781
"slope",15.148487304994,1.51695108704838,16.7987598975218,20.0300478091189,31.0174367835583
"TWI",1.64362316885454,1.33862474558239,4.7465780071713,4.29666973429625,20.4076974761163
"cwd",7.40624219357556,3.99037695612735,11.2238262865033,14.0683334437769,24.0479963726985
"vpd_aug",0.518262449314291,7.88963611819565,11.7572067281586,13.5345058065897,24.6800026764086
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.64894376840777,2.32070975790491,9.07193322381916,10.8899523785555,21.0102868407426
"tmax",5.6077137124241,1.55727773200681,14.9052480758293,14.3607246647921,20.55641065224
"TPI_five",5.48799358651372,-2.29526376032281,14.0706320541162,11.0134253285123,27.8800250802352
"dem_10m_zaca",6.44111702481564,-0.41629366697396,17.5924616463223,15.5469184123167,26.5300551810027
"flow_accumulation",7.0715700733214,-1.53859856870293,6.82872001155001,7.86003733520378,24.0042110787488
"sr",12.7236831131409,-7.29045614215685,13.2815431212238,11.8768201037109,27.2189828181254
"slope",14.0613150678646,2.06556741337585,15.7756832553878,20.1255237417528,30.2658117422355
