"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"flow_accumulation",16.3092361822414,4.1648371177575,2.18071768517201,7.99512107540078,16.3072097635208,40.6501799142246
"sr",2.63463698949832,7.47850397647756,-0.64749590672201,16.3331536499291,15.1447504827277,40.6411733052361
"slope",11.357801427709,3.2608970195192,4.1945183372569,17.4598866459041,19.4989014465397,43.055704659275
"TWI",5.39285725148005,2.55091350580467,4.32454399365472,5.88509717168364,9.2613017070886,32.6888226935089
"cwd",11.2524746902847,4.2540955180628,5.06665266871292,12.099313550175,18.0850765289886,38.9526373842341
"vpd_aug",2.90427215357165,4.34214939357499,8.79253924056848,12.7609275721639,14.9540183214518,36.8924732048559
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.64020395358788,6.46873074085159,3.66194459922146,10.7995315269231,13.697694939544,30.2338147662851
"tmax",1.11983918632116,5.71872971020432,3.3592425089673,15.7066463913163,14.2034862473675,29.9123792432453
"TPI_five",9.5400659527242,3.08581628635275,-0.50822158058612,18.7411362280068,16.9298696322622,44.2094657240938
"dem_10m_zaca",12.135903629571,-1.26866795027953,3.92129957441732,17.7427909912022,18.4220481794504,40.8002393577256
"flow_accumulation",9.86738605735333,4.18772517655069,0.283750563118666,12.5693220060263,14.5887506976023,37.0372955759156
"sr",12.4154986573854,2.90188495786398,-2.50674549804275,19.6251155947074,19.2182719498361,41.8989766765165
"slope",9.65081426225579,4.0565301062661,0.688069920061803,23.1700876804324,20.1210616306624,43.5466001397653
"TWI",2.05280341917717,-1.45161259014274,4.83281347790853,5.67061192058539,5.98298392394788,33.0830905566449
"cwd",9.24873228806953,3.04493634140115,4.24861108828915,16.0078650114418,16.6791464249821,39.1821769059972
"vpd_aug",-0.132517781453372,6.13207205388774,7.13378874944198,13.6666661131365,14.5626509472742,34.3296170538109
"","None","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",7.80998424725378,4.94521198411573,3.85094496637372,9.5467004769738,13.8333159953923,30.5450276611311
"tmax",1.98693922602765,6.91079848142602,1.95488461828236,15.9979651295582,14.7106462696836,30.089522391822
"TPI_five",9.92601789990046,2.71793880635807,0.741487408968958,17.282319492998,16.0169490736239,42.0304378611046
"dem_10m_zaca",8.33271933241172,-0.856562868405023,3.38714466286739,21.4693485277132,18.6248113471743,38.8224886647453
"flow_accumulation",15.173293093788,0.630836599818774,-0.223009363137762,14.0337787751036,16.3279927879475,40.707977993051
"sr",3.64957556545017,4.74343724058437,-1.60991660312504,22.1794536615301,16.4311669976586,42.9579026340837
"slope",16.9890371507773,0.889730983975882,5.63895471589541,18.862600376557,23.77914178891,45.9610134173404
"TWI",1.78357756403302,-3.93423981689271,1.58547561370363,6.28808988920006,3.36916948730051,31.6729676583877
"cwd",11.2093074332667,-0.179837353534634,0.753671002228088,12.1592576708772,12.9852034935917,35.6319110188127
"vpd_aug",0.807256656232128,2.49134112736637,6.65903559187299,15.3170762794559,13.526990567281,35.8379026995211
