OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
127,126,25_75,1_25,"34.6973530619253, -119.667480216529",760.000436,7325.007063,0.990343,Low Mortality,127,1809.754075,Moderate,
128,127,75_100,75_100,"34.7020073561084, -119.599191506984",840.001441,13325.00501,0.458374,No Change,128,1753.754295,Low,
129,128,25_75,25_75,"34.6972401232237, -119.666240439232",599.999229,8325.008709,0.566158,No Change,129,1808.732356,Low,
130,129,25_75,1_25,"34.6974782849678, -119.662121208628",636.988838,10663.84361,0.027473,Low Mortality,130,1827.742671,High,
131,130,25_75,25_75,"34.7035689512814, -119.598201244537",729.999535,12000.00358,0.37014,No Change,131,1702.423834,None,
132,131,25_75,25_75,"34.705338002254, -119.608067348967",930.000944,26075.01159,0.394092,No Change,132,1816.060415,None,
133,132,75_100,25_75,"34.6982092169731, -119.675120687876",1280.756893,27987.69596,0.248095,Low Mortality,133,1889.062532,Moderate,
134,133,75_100,1_25,"34.6977051189821, -119.590625259005",1059.999251,14975.00449,0.931339,High Mortality,134,1793.821723,High,
135,134,75_100,75_100,"34.7014162696536, -119.63508386495",2399.999516,40375.02586,0.856051,No Change,135,1702.871042,None,
136,135,1_25,1_25,"34.7029921896798, -119.681700789745",1100.000952,16724.99784,0.072803,No Change,136,1866.94035,Low,
138,137,25_75,1_25,"34.7106566902829, -119.649189580582",709.999634,11700.00462,0.00723,Low Mortality,138,1633.666614,None,
139,138,25_75,25_75,"34.7101412916212, -119.656701924891",1689.998781,26300.01,0.334168,No Change,139,1672.767108,Low,
140,139,75_100,75_100,"34.7155934406292, -119.652523762189",789.999838,14200.01135,0.345719,No Change,140,1516.802863,Moderate,
141,140,25_75,25_75,"34.7159732485277, -119.662851834242",1179.998756,17425.00164,0.916944,No Change,141,1355.740002,None,
142,141,25_75,25_75,"34.7177123825619, -119.665454576299",326.223716,4446.13328,0.448015,No Change,142,1292.646434,None,
143,142,1_25,1_25,"34.7192711354183, -119.651002024667",649.998331,9625.002908,0.867792,No Change,143,1359.885183,None,
