OBJECTID,mortality,mortality_qualitative,other_mortality,drainage,ridge,prefire,postfire,Change in mortality,new_model_class,Shape_Area,shade_2000,shade_2001,shade_2002,shade_2003,shade_2004,shade_2005,shade_2006,shade_2008,shade_2009,shade_2010,shade_2011,shade_2013,shade_2014,shade_2015,shade_2016,shade_2017,shade_2018,SF_change_2008_2018,lower.2018.SF,min_2000_2006,>prefire min?,avg_2000_2006,max_2000_2006,2018>2000-2006min?,diff.btw.2018.and.2000.2006min,2018>2000-2006avg,diff.btw.2018.and.2000.2006avg,diff from canopy bin change mean,,,
445,75,High,Type Converted,N,N,25_75,0,Complete,1,27300.01476,0.563835442,0.535321474,0.549347818,0.533695638,0.554794312,0.534762502,0.559776187,0.573751569,0.569643378,0.521852851,0.511470973,0.566108942,0.531590164,0.500221848,0.543690503,0.541689217,0.512088895,-0.061662674,TRUE,0.533695638,FALSE,0.54736191,0.563835442,FALSE,-0.021606743,FALSE,-0.035273015,-0.018996105,,,
452,75,High,Type Converted,N,N,25_75,0,Complete,1,7075.002422,0.579648614,0.561844468,0.533570528,0.523146391,0.560487866,0.558988571,0.566172183,0.525991201,0.539427876,0.462826788,0.4475981,0.519777775,0.491548061,0.444097757,0.498716116,0.504910409,0.470157444,-0.055833757,TRUE,0.523146391,FALSE,0.554836946,0.579648614,FALSE,-0.052988947,FALSE,-0.084679502,-0.060927556,,,
454,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,73775.02702,0.63231802,0.623651385,0.605183005,0.609594464,0.618565857,0.616368532,0.623651564,0.639439464,0.655236781,0.594094396,0.60315454,0.636216044,0.591053247,0.559167027,0.597071171,0.619003236,0.566813529,-0.072625935,TRUE,0.605183005,FALSE,0.618476118,0.63231802,FALSE,-0.038369476,FALSE,-0.051662589,-0.032492471,,,
455,75,High,Type Converted,Y,N,25_75,1_25,Low/Moderate,1,29450.01456,0.603845358,0.591672063,0.585555196,0.591935694,0.591989398,0.604301929,0.59455961,0.631000876,0.623932123,0.591553092,0.614603937,0.60489285,0.595804214,0.591549218,0.597750068,0.623282015,0.575919628,-0.055081248,TRUE,0.585555196,FALSE,0.594837035,0.604301929,FALSE,-0.009635568,FALSE,-0.018917407,-0.023386372,,,
456,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,49650.01331,0.61245656,0.594801605,0.585011631,0.586532623,0.599223673,0.606746733,0.609786242,0.613790303,0.632421136,0.571756512,0.563013375,0.611556053,0.571505934,0.505169004,0.561261207,0.558844775,0.526781142,-0.087009161,TRUE,0.585011631,FALSE,0.599222724,0.61245656,FALSE,-0.058230489,FALSE,-0.072441582,-0.072524858,,,
461,75,High,Type Converted,N,N,25_75,1_25,Low/Moderate,1,106775.0199,0.597546339,0.571448028,0.572318554,0.562592268,0.579820275,0.570846438,0.584066629,0.606850088,0.617662728,0.563264966,0.560798764,0.602457762,0.566322207,0.528022766,0.56749779,0.573352933,0.541371763,-0.065478325,TRUE,0.562592268,FALSE,0.576948362,0.597546339,FALSE,-0.021220505,FALSE,-0.035576599,-0.057934237,,,
484,75,High,Type Converted,Y,Y,25_75,0,Complete,1,11725.00437,0.617461741,0.60369873,0.60565263,0.606001347,0.610073686,0.610466152,0.617326885,0.676524401,0.692966431,0.639875323,0.632223636,0.659533113,0.608450562,0.548544943,0.58498314,0.57873854,0.54443115,-0.132093251,TRUE,0.60369873,FALSE,0.61009731,0.617461741,FALSE,-0.05926758,FALSE,-0.06566616,0.01334615,,,
485,75,High,Type Converted,N,Y,25_75,0,Complete,1,15000.00675,0.548184633,0.522886753,0.530291677,0.483200729,0.51445657,0.498807132,0.525475323,0.640355527,0.668324947,0.586290121,0.584020853,0.610333562,0.569811761,0.507315516,0.582840562,0.529389799,0.481661856,-0.158693671,TRUE,0.483200729,FALSE,0.517614688,0.548184633,FALSE,-0.001538873,FALSE,-0.035952832,-0.049423144,,,
493,75,High,Type Converted,N,N,25_75,0,Complete,1,130075.0348,0.617320597,0.586630762,0.596249223,0.593555927,0.602792501,0.592818916,0.59901464,0.648475587,0.662352383,0.593283892,0.582923234,0.636040151,0.591191053,0.548316538,0.602091193,0.586281121,0.555433571,-0.093042016,TRUE,0.586630762,FALSE,0.598340367,0.617320597,FALSE,-0.031197191,FALSE,-0.042906796,0.024348571,,,
495,75,High,Type Converted,Y,N,25_75,0,Complete,1,66625.03509,0.645601034,0.620536983,0.619992375,0.620509863,0.635523379,0.622798681,0.624041736,0.62691766,0.640625417,0.583161712,0.564932466,0.627346039,0.592248976,0.556337953,0.612900794,0.60417515,0.582234144,-0.044683516,TRUE,0.619992375,FALSE,0.627000579,0.645601034,FALSE,-0.037758231,FALSE,-0.044766435,0.051149144,,,
496,75,High,Type Converted,Y,N,25_75,0,Complete,1,8150.004384,0.641257644,0.612130344,0.587518334,0.609093189,0.600320756,0.607589781,0.61014545,0.646001041,0.6550861,0.59060216,0.579930246,0.647264123,0.600078642,0.563548088,0.608599186,0.596090019,0.576738596,-0.069262445,TRUE,0.587518334,FALSE,0.609722214,0.641257644,FALSE,-0.010779738,FALSE,-0.032983618,0.045653596,,,
507,75,High,Type Converted,N,N,25_75,1_25,Low/Moderate,1,33804.10126,0.659843892,0.637809753,0.619101107,0.624805152,0.644960403,0.62848568,0.648814559,0.700518489,0.717687368,0.665203333,0.65304026,0.675672144,0.627086699,0.572051227,0.628039956,0.629263729,0.596900135,-0.103618354,TRUE,0.619101107,FALSE,0.637688649,0.659843892,FALSE,-0.022200972,FALSE,-0.040788514,-0.002405865,,,
512,75,High,Type Converted,N,Y,25_75,1_25,Low/Moderate,1,13275.00117,0.556427538,0.562029004,0.564682841,0.56768018,0.566956758,0.539404035,0.560242653,0.670405328,0.682757854,0.61681354,0.599641562,0.636241853,0.588772178,0.579758286,0.579413235,0.542173624,0.520200849,-0.150204479,TRUE,0.539404035,FALSE,0.559631858,0.56768018,FALSE,-0.019203186,FALSE,-0.039431009,-0.079105151,,,
513,75,High,Type Converted,Y,N,25_75,1_25,Low/Moderate,1,15950.01311,0.58984831,0.579778492,0.612597376,0.569981664,0.590099603,0.569288373,0.586518288,0.64664048,0.652620196,0.593789309,0.595963627,0.61418739,0.57147947,0.548250824,0.563480914,0.567529261,0.526297331,-0.120343149,TRUE,0.569288373,FALSE,0.585444587,0.612597376,FALSE,-0.042991042,FALSE,-0.059147256,-0.073008669,,,
560,75,High,Type Converted,N,N,25_75,0,Complete,1,54550.00894,0.589318752,0.573452652,0.56270963,0.564059377,0.564183176,0.568373203,0.574027717,0.596170485,0.60985744,0.55469656,0.561829329,0.595995665,0.565308571,0.544227004,0.571710289,0.592580795,0.545695245,-0.05047524,TRUE,0.56270963,FALSE,0.57087493,0.589318752,FALSE,-0.017014385,FALSE,-0.025179685,0.014610245,,,
561,75,High,Type Converted,N,Y,25_75,0,Complete,1,77100.0315,0.629191101,0.624368787,0.611268222,0.616603971,0.606049478,0.611355573,0.6136024,0.616804659,0.61068815,0.573994964,0.551067144,0.597144216,0.550090462,0.509771079,0.536348879,0.53691718,0.498972505,-0.117832154,TRUE,0.606049478,FALSE,0.61606279,0.629191101,FALSE,-0.107076973,FALSE,-0.117090285,-0.032112495,,,
615,75,High,Type Converted,N,N,25_75,0,Complete,1,37900.0071,0.683022022,0.659525752,0.656421781,0.658857226,0.664002359,0.661028981,0.662744939,0.695624113,0.702913761,0.632145166,0.61319989,0.648442268,0.607941866,0.542801201,0.62305063,0.599404097,0.555096686,-0.140527427,TRUE,0.656421781,FALSE,0.66365758,0.683022022,FALSE,-0.101325095,FALSE,-0.108560894,0.024011686,,,
618,75,High,Type Converted,Y,Y,25_75,0,Complete,1,18825.00022,0.612562478,0.580376983,0.598348379,0.573387504,0.607561946,0.586009085,0.59830898,0.670978844,0.660770118,0.604784966,0.561485887,0.594761133,0.545163453,0.535427511,0.56137228,0.525927126,0.518286765,-0.152692079,TRUE,0.573387504,FALSE,0.593793622,0.612562478,FALSE,-0.055100739,FALSE,-0.075506857,-0.012798235,,,
94,75,High,Type Converted,N,N,75_100,1_25,High,1,19150.00996,0.660253793,0.647326231,0.658958852,0.641166896,0.667330891,0.652518481,0.647485495,0.724104673,0.738156885,0.678097397,0.64454338,0.671603054,0.633379102,0.594111323,0.643499672,0.621492714,0.576056868,-0.148047805,TRUE,0.641166896,FALSE,0.653577234,0.667330891,FALSE,-0.065110028,FALSE,-0.077520366,0.008964868,,,
98,75,High,Type Converted,N,N,75_100,1_25,High,1,7349.997448,0.609977603,0.580381751,0.598638773,0.580245554,0.59617722,0.583498359,0.595024645,0.680432141,0.699665308,0.673861802,0.65696317,0.676693797,0.624677658,0.567742109,0.591351926,0.559579611,0.544464231,-0.13596791,TRUE,0.580245554,FALSE,0.591991986,0.609977603,FALSE,-0.035781323,FALSE,-0.047527755,-0.022627769,,,
100,75,High,Type Converted,N,N,75_100,0,Complete,1,21924.99326,0.672660917,0.651371241,0.650834292,0.64515233,0.655087262,0.663218826,0.676663399,0.690034807,0.706675112,0.616664588,0.579661936,0.649686873,0.585017681,0.534837902,0.591441661,0.545967609,0.534047425,-0.155987382,TRUE,0.64515233,FALSE,0.659284038,0.676663399,FALSE,-0.111104905,FALSE,-0.125236613,0.002962535,,,
101,75,High,Type Converted,N,Y,75_100,0,Complete,1,20800.00459,0.653840303,0.625760317,0.636638761,0.627386808,0.641139865,0.639372051,0.637431264,0.744885266,0.769013286,0.714271307,0.685749292,0.73240608,0.676199853,0.633925676,0.668197811,0.656583726,0.621593118,-0.123292148,TRUE,0.625760317,FALSE,0.637367053,0.653840303,FALSE,-0.004167199,FALSE,-0.015773935,0.090508118,,,
104,75,High,Type Converted,N,N,75_100,0,Complete,1,10374.99624,0.661058426,0.639548242,0.639488459,0.643753886,0.64778018,0.639590681,0.64790827,0.699133813,0.69235611,0.598104119,0.524045587,0.619939089,0.561636627,0.529023409,0.596786439,0.482046604,0.47111541,-0.228018403,TRUE,0.639488459,FALSE,0.645589735,0.661058426,FALSE,-0.168373049,FALSE,-0.174474325,-0.05996959,,,
105,75,High,Type Converted,Y,N,75_100,1_25,High,1,75950.02226,0.698102266,0.673472196,0.661310345,0.673608303,0.678815126,0.680802822,0.685046256,0.714037299,0.737186283,0.648548216,0.622340709,0.682558805,0.640107334,0.571133018,0.644289881,0.596884847,0.572088599,-0.1419487,TRUE,0.661310345,FALSE,0.678736759,0.698102266,FALSE,-0.089221746,FALSE,-0.10664816,0.004996599,,,
108,75,High,Type Converted,N,N,75_100,1_25,High,1,134081.0502,0.670485556,0.645212531,0.644973278,0.638305247,0.65801996,0.656391501,0.663157344,0.742271662,0.761148512,0.68821162,0.658189952,0.696813703,0.649391294,0.588133335,0.65473336,0.614139259,0.578521371,-0.163750291,TRUE,0.638305247,FALSE,0.653792202,0.670485556,FALSE,-0.059783876,FALSE,-0.075270831,0.011429371,,,
