model_type_all,model_acc_all,2018,2018_pre,2018_min,2018_min_pre,2018_avg_pre,2018_avg,2018_max_pre,2018_max,model_type_6main,model_acc_6main
2018,0.696969697,0.696969697,0.702020202,0.782828283,0.818181818,0.823232323,0.833333333,0.818181818,0.797979798,2018_min,0.782828283
2018,0.661616162,0.661616162,0.696969697,0.828282828,0.833333333,0.813131313,0.808080808,0.792929293,0.803030303,2018_min,0.828282828
2018,0.651515152,0.651515152,0.661616162,0.803030303,0.858585859,0.818181818,0.813131313,0.813131313,0.803030303,2018_min,0.803030303
2018,0.601010101,0.601010101,0.696969697,0.833333333,0.808080808,0.803030303,0.792929293,0.787878788,0.797979798,2018_min,0.833333333
2018,0.656565657,0.656565657,0.691919192,0.853535354,0.873737374,0.792929293,0.808080808,0.777777778,0.813131313,2018_min,0.853535354
2018,0.671717172,0.671717172,0.686868687,0.803030303,0.833333333,0.833333333,0.838383838,0.803030303,0.813131313,2018_min,0.803030303
2018,0.651515152,0.651515152,0.666666667,0.838383838,0.833333333,0.823232323,0.813131313,0.752525253,0.787878788,2018_min,0.838383838
2018,0.636363636,0.636363636,0.702020202,0.828282828,0.843434343,0.792929293,0.843434343,0.752525253,0.808080808,2018_min,0.828282828
2018,0.641414141,0.641414141,0.676767677,0.782828283,0.843434343,0.833333333,0.823232323,0.792929293,0.787878788,2018_min,0.782828283
2018,0.611111111,0.611111111,0.732323232,0.777777778,0.818181818,0.808080808,0.848484848,0.792929293,0.782828283,2018_min,0.777777778
2018,0.661616162,0.661616162,0.666666667,0.843434343,0.853535354,0.823232323,0.808080808,0.772727273,0.782828283,2018_min,0.843434343
2018,0.661616162,0.661616162,0.712121212,0.797979798,0.813131313,0.823232323,0.813131313,0.808080808,0.803030303,2018_min,0.797979798
2018,0.661616162,0.661616162,0.717171717,0.823232323,0.833333333,0.833333333,0.813131313,0.777777778,0.792929293,2018_min,0.823232323
2018,0.666666667,0.666666667,0.666666667,0.803030303,0.833333333,0.833333333,0.742424242,0.787878788,0.782828283,2018_min,0.803030303
